# generated by scripts/build_vocab.py — do not edit by hand
word	class	concreteness	frequency	pos
commonsense	abstract	1.87	3.0	Adjective
communally	abstract	1.88	2.0	Adverb
communism	abstract	1.86	107.0	Noun
communistic	abstract	1.92	4.0	Adjective
compactly	abstract	1.96	0.0	#N/A
comparative	abstract	1.74	41.0	Adjective
comparatively	abstract	1.96	20.0	Adverb
comparison	abstract	2.00	187.0	Noun
compassion	abstract	1.89	319.0	Noun
compassionate	abstract	1.79	91.0	Adjective
compassionately	abstract	1.50	3.0	Adverb
compatibility	abstract	1.94	23.0	Noun
compel	abstract	1.83	52.0	Verb
compelling	abstract	1.81	97.0	Adjective
compellingly	abstract	1.42	3.0	Adverb
competence	abstract	1.78	45.0	Noun
competency	abstract	1.81	12.0	Noun
competent	abstract	1.93	124.0	Adjective
competitive	abstract	1.89	214.0	Adjective
complacency	abstract	1.59	14.0	Noun
complement	abstract	2.00	39.0	Noun
complex	abstract	1.96	669.0	Adjective
complexity	abstract	1.87	41.0	Noun
compliance	abstract	1.96	50.0	Noun
complicate	abstract	1.65	75.0	Verb
complication	abstract	1.86	71.0	Noun
complicity	abstract	1.70	21.0	Noun
compounding	abstract	1.92	4.0	Verb
comprehend	abstract	1.86	94.0	Verb
comprehensible	abstract	1.82	10.0	Adjective
comprehension	abstract	1.78	55.0	Noun
comprehensive	abstract	1.82	58.0	Adjective
comprise	abstract	1.89	9.0	Verb
compromise	abstract	1.80	358.0	Verb
